会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ジーネクスト,4179,情報・通信業,グロース（内国株式）,JP,2025-03-31,東京都,1529657088.0,19.611935,,,-9.304377024348904,0.0,0.0,-26.42,,-35.57465471721493,691648000.0,-174244000.0,-0.5,-218573000.0,-0.85051,-0.71055,0.318727530684843,360620000.0,255021000.0,520117000.0,135174000.0,418302000.0,,159497000.0,0.1042697747431351
ブルーゾーンホールディングス,417A,小売業,プライム（内国株式）,JP,2025-03-31,埼玉県,384777158656.0,1.918208,,18.248177,,0.256,0.013916605,517.86,,,736400000000.0,33411000000.0,0.06807,20176000000.0,0.028180001,0.11476,0.4813905147711626,190277000000.0,90311000000.0,92983000000.0,80848000000.0,50226000000.0,909000000.0,-96657700000.0,-0.2512043603045946
Ａｐｐｉｅｒ　Ｇｒｏｕｐ,4180,情報・通信業,プライム（内国株式）,JP,2024-12-31,東京都,71273988096.0,1.9207762,15.125324,28.011206,188.7442029229612,0.09,0.0030080213,24.99,46.28,9.75267109309456,34057000000.0,1981000000.0,0.08409,2927000000.0,0.05849,0.07159,0.76875686090015,10322000000.0,8669000000.0,27999000000.0,3779000000.0,5496000000.0,430000000.0,17978000000.0,0.2522378848197067
三菱瓦斯化学,4182,化学,プライム（内国株式）,JP,2025-03-31,東京都,857843040256.0,1.3452197,15.939355,,12.550578291656151,0.415,0.022624435,-37.88,276.36,190.96999993540533,773591000000.0,50851000000.0,0.05953,45544000000.0,-0.02197,-0.01591,0.5967921420967269,422314000000.0,274929000000.0,460268000000.0,202976000000.0,68246000000.0,233519000000.0,201417300000.0,0.2347950505489821
三井化学,4183,化学,プライム（内国株式）,JP,2025-03-31,東京都,871102873600.0,0.98792493,5.0768046,48.541756,15.849647625243716,1.572,0.01591343,47.66,455.7,131.49499997356898,1809164000000.0,65907000000.0,0.0535,32242000000.0,0.01013,0.0298,0.3938266062444259,1183349000000.0,605927000000.0,1041171000000.0,737977000000.0,170615000000.0,93618000000.0,-76645400000.0,-0.0879866228465624
東京応化工業,4186,化学,プライム（内国株式）,JP,2024-12-31,神奈川県,1107332562944.0,4.8627334,47.32312,33.223034,28.97843626138763,0.2588,0.0077947387,278.03,195.19,104.97000002485522,200966000000.0,33091000000.0,0.24112,22683000000.0,0.14068,0.17196,0.7117156741035009,68458000000.0,54104000000.0,151770000000.0,10542000000.0,59047000000.0,22146000000.0,98814200000.0,0.0892362451053444
大阪有機化学工業,4187,化学,プライム（内国株式）,JP,2024-11-30,大阪府,92026863616.0,1.8516064,26.061163,13.44086,13.564503491059934,0.2228,0.016233766,336.66,173.63,191.2516836734332,,,0.16263,,0.18992001,0.14532,0.7577003662137097,13824739000.0,11729879000.0,34287015000.0,3526533000.0,13047614000.0,6197896000.0,24800803200.0,0.2694952563360865
三菱ケミカルグループ,4188,化学,プライム（内国株式）,JP,2025-03-31,東京都,1518185218048.0,0.8205129,12.255977,42.914745,10.76457713237521,1.2279,0.02825607,26.04,91.18,80.77000000349159,4407405000000.0,188627000000.0,0.03122,45020000000.0,0.021879999,0.03679,0.2952811708441207,3610050000000.0,1500158000000.0,2061560000000.0,2040987000000.0,326144000000.0,203645000000.0,-1405938500000.0,-0.9260652015883012
ＫＨネオケム,4189,化学,プライム（内国株式）,JP,2024-12-31,東京都,104993693696.0,1.5004855,11.718321,13.946865,11.193006020455163,0.4902,0.0,214.17,254.9,184.22894438056375,119758000000.0,12197000000.0,0.09616999,8360000000.0,0.06776,0.11003,0.5255282895437465,59545000000.0,46649000000.0,69366000000.0,19204000000.0,7158000000.0,7370000000.0,14980000000.0,0.1426752357467608
スパイダープラス,4192,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,9845492736.0,3.707804,22.24,,-55.19628811880334,0.0,0.0,-12.95,12.5,-13.316112822985511,4072136000.0,-519193000.0,0.03659,-771659000.0,-0.0035499998,-0.00654,0.6282305898666971,1565692000.0,1217548000.0,3395612000.0,1031903000.0,2740772000.0,,1829920000.0,0.1858637296342625
