会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
タナベコンサルティンググループ,9644,サービス業,プライム（内国株式）,JP,2025-03-31,,23194433536.0,2.2145183,12.190152,21.97735,25.551115578931284,0.7956,0.035519127,32.67,58.9,19.049999882613967,14543581000.0,1500309000.0,0.14054,1016728000.0,0.06673,0.11123,0.7439063957850662,3187669000.0,2536979000.0,9091754000.0,256965000.0,7665407000.0,17746000.0,5916507200.0,0.25508306511633533
協和コンサルタンツ,9647,サービス業,スタンダード（内国株式）,JP,2024-11-30,東京都,5093233664.0,1.1530979,,8.984754,5.456312904665545,0.031,0.0033860046,969.42,,689.861301369863,8061713000.0,762681000.0,0.07154,512790000.0,0.072270006,0.1402,0.513820560896259,3423859000.0,2959291000.0,5896451000.0,1045780000.0,3537871000.0,443065000.0,2782737500.0,0.546359677088634
日本プロセス,9651,情報・通信業,スタンダード（内国株式）,JP,2025-05-31,東京都,17828065280.0,1.5726941,,11.325286,13.282771920784128,0.3511,0.030860856,162.38,,75.55999954075295,10473149000.0,1144609000.0,0.1291,1478151000.0,0.13855,0.14124,0.7661328355534036,3384962000.0,3351895000.0,11909262000.0,,5664337000.0,1587423000.0,9635496100.0,0.540467849352636
グリーンランドリゾート,9656,サービス業,スタンダード（内国株式）,JP,2024-12-31,,6295490560.0,0.5971818,,11.586758,14.973644616419794,0.3045,0.0,52.56,,44.855182960008506,6412347000.0,774686000.0,0.13258,534234000.0,0.07548,0.04701,0.5353816692580964,8832440000.0,4429108000.0,848491000.0,5544240000.0,400869000.0,341241000.0,-7745080300.0,-1.230258424849421
ビジネスブレイン太田昭和,9658,情報・通信業,プライム（内国株式）,JP,2025-03-31,東京都,32968304640.0,1.1128618,,12.578357,1.660208531204378,0.4432,0.03467742,242.48,,1224.0848337950138,38803632000.0,2872430000.0,0.08929,2469336000.0,0.06166,0.08550999,0.6429056847582563,15710759000.0,7940323000.0,18250960000.0,2691333000.0,9907750000.0,2908888000.0,4576422600.0,0.13881279762403942
歌舞伎座,9661,サービス業,スタンダード（内国株式）,JP,2025-02-28,,56659570688.0,4.730699,,163.92006,226.33438368454048,0.17459999,0.0010660981,28.52,,21.118817534340614,3106550000.0,218324000.0,0.09834,274570000.0,0.108830005,0.03342,0.4638102033846125,13055443000.0,745073000.0,2188298000.0,,2034520000.0,5843345000.0,-6776803500.0,-0.11960562739377176
ナガワ,9663,サービス業,プライム（内国株式）,JP,2025-03-31,東京都,93601546240.0,1.5631765,,23.64038,37.83760419264654,0.2367,0.01,253.38,,199.04613073787527,35294000000.0,4300000000.0,0.11878,4213000000.0,0.095,0.05587,0.8840563089538117,8088000000.0,6512000000.0,23974000000.0,,11433000000.0,17199000000.0,27925300000.0,0.29834229370952753
東京都競馬,9672,サービス業,プライム（内国株式）,JP,2024-12-31,東京都,145808572416.0,1.5386864,14.614923,14.285714,13.390605285445618,0.2907,0.02062937,392.0,383.17,308.3701301987175,40443953000.0,13926220000.0,0.34083998,9706456000.0,0.25053,0.11276,0.7436584387680332,31263753000.0,9696501000.0,23889771000.0,19166600000.0,16040220000.0,2258269000.0,-5793193700.0,-0.03973150277798273
カナモト,9678,サービス業,プライム（内国株式）,JP,2025-10-31,北海道,143536193536.0,0.98045456,16.006334,13.192654,10.384240420978156,0.3024,0.022592152,314.19,258.96,253.70276411596353,213266000000.0,17369000000.0,0.10499,10977000000.0,0.051469997,0.07643,0.45428402162375653,166627000000.0,84965000000.0,130835000000.0,60105000000.0,61110000000.0,13719000000.0,-26188700000.0,-0.1824536331558191
ホウライ,9679,サービス業,スタンダード（内国株式）,JP,2025-09-30,東京都,8786581504.0,1.2586282,,17.63618,21.065258471142293,0.2019,0.007861792,118.96,,73.55328430624667,6111745000.0,616770000.0,0.055069998,497924000.0,0.080369994,0.06545,0.500589592841463,9841791000.0,1507408000.0,2753072000.0,3043009000.0,1940471000.0,863773000.0,-6484077900.0,-0.7379522852030896
ＤＴＳ,9682,情報・通信業,プライム（内国株式）,JP,2025-03-31,東京都,178311380992.0,2.9816782,4.6062655,15.674464,22.447624883578758,0.4795,0.06802575,71.39,242.93,42.12803181965538,125908000000.0,14493000000.0,0.13506,10635000000.0,0.089820005,0.19943,0.7222560861830893,21044000000.0,20445000000.0,57798000000.0,,29922000000.0,7447000000.0,41966900000.0,0.23535738305948548
スクウェア・エニックス・ホールディングス,9684,情報・通信業,プライム（内国株式）,JP,2025-03-31,東京都,906453254144.0,2.6513367,8.927874,39.841522,45.67869223104545,0.8198,0.020313347,63.1,281.59,41.4333333762152,324506000000.0,40586000000.0,0.23429,24414000000.0,0.08682,0.07472,0.8075307574009997,79794000000.0,67357000000.0,344515000000.0,,247760000000.0,5553000000.0,268608100000.0,0.2963286841014845
ＫＹＣＯＭホールディングス,9685,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,福井県,3291478528.0,0.6474193,,6.7796607,7.693308124778384,0.1046,0.0152207,95.58,,82.56241532042299,6770632000.0,590548000.0,0.10223,468768000.0,0.069910005,0.10582,0.5637126839431956,3474299000.0,1670138000.0,3356294000.0,2143466000.0,2159633000.0,1373206000.0,843239200.0,0.2561885769044883
東洋テック,9686,サービス業,スタンダード（内国株式）,JP,2025-03-31,大阪府,18551545856.0,0.7936087,,8.779622,19.951273383184585,0.25620002,0.011019284,202.97,,60.9861679310095,34925058000.0,1049132000.0,0.072129995,692703000.0,0.05422,0.107480004,0.5602845267906086,17060343000.0,8060678000.0,15719840000.0,9459254000.0,10621866000.0,4166451000.0,1576012700.0,0.08495317383431317
ＫＳＫ,9687,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,東京都,26375876608.0,1.4687594,,10.235294,14.122588685410317,0.2916,0.028637413,425.0,,277.2299870327384,23608000000.0,2420000000.0,0.04958,1860000000.0,0.092159994,0.13758999,0.7285564853556485,6228000000.0,4180000000.0,14520000000.0,,5323000000.0,6002000000.0,12493400000.0,0.47366766935096516
両毛システムズ,9691,情報・通信業,スタンダード（内国株式）,JP,2025-03-31,群馬県,15778387968.0,1.0601617,,8.0515585,10.275428852910345,0.078600004,0.009788654,560.14,,270.1223556317896,22486427000.0,2179487000.0,0.111829996,1569534000.0,0.08035,0.15145001,0.5510261009618824,11105760000.0,5700785000.0,13783684000.0,6483804000.0,4294639000.0,415078000.0,2968478600.0,0.18813573389248278
